;Name;TasteSweet;TasteSalty;TasteSour;TasteBitter;TasteHot;PowerEgg;PowerCatch;PowerExp;PowerItem;PowerRaid;PowerTitle;PowerSparkling;PowerHumungo;PowerTeensy;PowerEncounter;TypeNormal;TypeFighting;TypeFlying;TypePoison;TypeGround;TypeRock;TypeBug;TypeGhost;TypeSteel;TypeFire;TypeWater;TypeGrass;TypeElectric;TypePsychic;TypeIce;TypeDragon;TypeDark;TypeFairy;Amount
;Apple;4;0;3;1;0;4;-1;0;7;0;0;0;-5;0;0;0;0;7;0;0;0;0;0;7;0;0;0;0;0;7;0;0;0;3
;Avocado;3;0;1;0;0;0;4;0;0;-1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;3
;Bacon;1;5;1;4;0;0;4;0;0;-1;0;0;0;0;7;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;3
;Banana;4;0;1;0;0;4;-1;0;7;0;0;0;-5;0;0;7;0;0;0;0;0;7;0;0;0;0;0;7;0;0;0;0;0;3
;Basil;0;1;1;4;0;2;0;0;0;2;0;0;0;0;-2;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;4
;Cheese;1;3;0;0;0;0;2;2;2;0;0;0;0;0;-2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3
;Cherry Tomatoes;3;0;5;1;0;0;4;0;0;-1;0;0;0;0;7;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;3
;Chorizo;0;4;0;2;4;0;0;7;-1;0;0;0;0;0;4;12;0;0;12;0;0;12;0;0;12;0;0;12;0;0;12;0;0;3
;Cucumber;0;0;1;1;0;0;4;0;0;-1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;3
;Egg;1;2;0;1;0;0;0;7;-1;0;0;0;0;0;4;0;0;12;0;0;12;0;0;12;0;0;12;0;0;12;0;0;12;3
;Fried Fillet;2;3;0;3;0;0;21;0;0;12;0;0;0;0;-3;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;1
;Green Bell Pepper;1;0;1;5;0;0;4;0;0;-1;0;0;0;0;7;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
;Ham;1;5;0;0;0;0;4;0;0;-1;0;0;0;0;7;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;3
;Hamburger;6;12;0;9;0;0;12;0;0;-3;0;0;0;0;21;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;1
;Herbed Sausage;1;4;0;4;0;0;0;7;-1;0;0;0;0;0;4;0;12;0;0;12;0;0;12;0;0;12;0;0;12;0;0;12;0;3
;Jalapeno;0;0;2;0;5;4;-1;0;7;0;0;0;-5;0;0;0;0;0;0;0;7;0;0;0;0;0;7;0;0;0;0;0;7;3
;Kiwi;2;0;5;1;0;4;-1;0;7;0;0;0;-5;0;0;0;0;7;0;0;0;0;0;0;7;0;0;0;0;0;7;0;0;3
;Klwaf Stick;4;4;0;0;0;0;4;0;0;-1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;3
;Lettuce;1;0;0;2;0;0;4;0;0;-1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;3
;Noodles;0;4;0;0;0;0;0;0;0;0;0;0;21;-3;12;0;0;0;30;30;30;0;0;0;0;0;0;30;30;30;0;0;0;1
;Onion;2;0;0;1;3;0;4;0;0;-1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;3
;Pickle;1;0;4;2;0;0;4;0;0;-1;0;0;0;0;7;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
;Pineapple;3;0;5;1;0;4;-1;0;7;0;0;0;-5;0;0;0;0;0;0;7;0;0;0;0;0;7;0;0;0;0;0;7;0;3
;Potato Salad;2;3;4;1;0;0;0;0;0;0;0;0;21;-3;12;0;0;0;0;0;0;30;30;30;0;0;0;0;0;0;30;30;30;1
;Potato Tortilla;3;4;1;3;1;0;21;0;0;12;0;0;0;0;-3;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;1
;Prosciutto;2;4;1;0;0;0;4;0;0;-1;0;0;0;0;7;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
;Red Bell Pepper;1;0;1;3;0;0;4;0;0;-1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;3
;Red Onion;3;0;0;1;0;0;4;0;0;-1;0;0;0;0;7;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;3
;Rice;3;0;1;0;0;0;0;0;0;0;0;0;21;-3;12;30;30;30;0;0;0;0;0;0;30;30;30;0;0;0;0;0;0;1
;Smoked Fillet;1;3;2;3;0;0;4;0;0;-1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;3
;Strawberry;4;0;4;0;0;4;-1;0;7;0;0;0;-5;0;0;0;7;0;0;0;0;0;7;0;0;0;0;0;7;0;0;0;0;3
;Tofu;3;0;0;0;0;0;4;0;0;-1;0;0;0;0;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
;Tomato;2;0;4;1;0;0;4;0;0;-1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3
;Watercress;0;1;2;5;1;2;0;0;0;2;0;0;0;0;-2;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;3
;Yellow Bell Pepper;1;0;1;3;0;0;4;0;0;-1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;3
